Year,Month,Day,Amount
2025,1,15,4169.56
2025,2,15,4236.02
2025,3,15,4409.77
2025,4,15,4412.5
2025,5,15,4417.43
2025,6,15,4472.28
2025,7,15,4508.39
2025,8,15,4457.97
2025,9,15,4661.73
2025,10,15,4716.42
2025,11,15,4739.8
2025,12,15,4767.48
2026,1,15,4849.87
2026,2,15,4904.95
2026,3,15,4813.78
2026,4,15,4845.33
2026,5,15,4993.08
2026,6,15,5063.38
2026,7,15,4966.81
2026,8,15,5006.38
2026,9,15,4952.9
2026,10,15,5124.75
2026,11,15,5052.62
2026,12,15,5231.05
2027,1,15,5150.14
2027,2,15,5177.7
2027,3,15,5243.14
2027,4,15,5229.31
2027,5,15,5388.09
2027,6,15,5357.09
2027,7,15,5428.09
2027,8,15,5424.55
2027,9,15,5523.85
2027,10,15,5489.23
2027,11,15,5635.67
2027,12,15,5572.21
2028,1,15,5667.19
2028,2,15,5756.55
2028,3,15,5616.74
2028,4,15,5760.56
2028,5,15,5771.97
2028,6,15,5833.78
2028,7,15,5893.29
2028,8,15,5724.5
2028,9,15,5951.99
2028,10,15,5917.93
2028,11,15,6012.77
2028,12,15,6061.68
2029,1,15,5875.7
2029,2,15,6039.34
2029,3,15,6152.61
2029,4,15,6137.83
2029,5,15,6056.68
2029,6,15,6178.52
2029,7,15,5992.29
2029,8,15,6258.68
2029,9,15,6122.43
2029,10,15,6107.99
2029,11,15,6391.93
2029,12,15,6116.98
2030,1,15,6148.55
2030,2,15,6406.14
2030,3,15,6407.08
2030,4,15,6420.93
2030,5,15,6354.46
2030,6,15,6464.89
2030,7,15,6455.75
2030,8,15,6425.02
2030,9,15,6374.28
2030,10,15,6437.96
2030,11,15,6432.01
2030,12,15,6475.3
2031,1,15,6434.52
2031,2,15,6699.92
2031,3,15,6439.97
2031,4,15,6636.55
2031,5,15,6680.58
2031,6,15,6520.74
2031,7,15,6526.33
2031,8,15,6739.82
2031,9,15,6739.21
2031,10,15,6743.47
2031,11,15,6639.61
2031,12,15,6658.67
2032,1,15,6689.55
2032,2,15,6894.95
2032,3,15,6711.9
2032,4,15,6714.11
2032,5,15,6669.79
2032,6,15,6917.18
2032,7,15,6948.62
2032,8,15,6893.09
2032,9,15,6688.38
2032,10,15,6776.52
2032,11,15,6839.59
2032,12,15,6916.87
2033,1,15,6908.91
2033,2,15,6809.69
2033,3,15,6897.31
2033,4,15,6815.17
2033,5,15,6970.99
2033,6,15,6923.6
2033,7,15,6820.96
2033,8,15,6982.68
2033,9,15,7058.97
2033,10,15,7010.61
2033,11,15,6827.18
2033,12,15,6854.34
2034,1,15,7037.94
2034,2,15,6984.42
2034,3,15,7055.41
2034,4,15,6825.57
2034,5,15,7004.56
2034,6,15,7150.45
2034,7,15,6935.91
2034,8,15,6839.67
2034,9,15,6958.61
2034,10,15,6956.63
2034,11,15,6852.92
2034,12,15,6938.49
2035,1,15,6885.54
2035,2,15,7059.45
2035,3,15,6949.04
2035,4,15,7074.92
2035,5,15,7156.21
2035,6,15,6887.22
2035,7,15,7064.46
2035,8,15,7043.18
2035,9,15,6961.8
2035,10,15,7092.94
2035,11,15,6921.73
2035,12,15,6951.71
2036,1,15,6846.76
2036,2,15,6964.48
2036,3,15,6829.04
2036,4,15,6963.71
2036,5,15,6893.73
2036,6,15,7106.22
2036,7,15,6969.5
2036,8,15,6897.87
2036,9,15,6761.63
2036,10,15,7001.3
2036,11,15,6985.3
2036,12,15,6728.08
2037,1,15,6798.2
2037,2,15,6943.66
2037,3,15,6873.99
2037,4,15,6719.24
2037,5,15,6898.76
2037,6,15,6764.47
2037,7,15,6852.31
2037,8,15,6837.32
2037,9,15,6789.46
2037,10,15,6944.33
2037,11,15,6686.07
2037,12,15,6754.51
2038,1,15,6638.82
2038,2,15,6816.9
2038,3,15,6647.39
2038,4,15,6786.83
2038,5,15,6854.1
2038,6,15,6837.76
2038,7,15,6536.89
2038,8,15,6568.09
2038,9,15,6751.49
2038,10,15,6520.93
2038,11,15,6650.75
2038,12,15,6733.07
2039,1,15,6669.37
2039,2,15,6552.02
2039,3,15,6491.69
2039,4,15,6616.11
2039,5,15,6530.05
2039,6,15,6629.68
2039,7,15,6503.15
2039,8,15,6342.34
2039,9,15,6379.58
2039,10,15,6373.75
2039,11,15,6515.09
2039,12,15,6396.77
2040,1,15,6414.56
2040,2,15,6272.31
2040,3,15,6255.49
2040,4,15,6357.04
2040,5,15,6400.31
2040,6,15,6361.97
2040,7,15,6256.12
2040,8,15,6269.44
2040,9,15,6228.32
2040,10,15,6115.85
2040,11,15,6065.54
2040,12,15,6262.04
2041,1,15,6020.25
2041,2,15,6195.69
2041,3,15,6126.09
2041,4,15,5893.39
2041,5,15,6005.56
2041,6,15,5921.05
2041,7,15,6084.21
2041,8,15,6041.55
2041,9,15,5830.53
2041,10,15,5995.96
2041,11,15,5984.76
2041,12,15,5826.39
2042,1,15,5704.8
2042,2,15,5895.07
2042,3,15,5695.41
2042,4,15,5651.68
2042,5,15,5766.69
2042,6,15,5679.36
2042,7,15,5574.14
2042,8,15,5631.97
2042,9,15,5616.67
2042,10,15,5569.73
2042,11,15,5582.05
2042,12,15,5590.79
2043,1,15,5402.32
2043,2,15,5433.44
2043,3,15,5296.64
2043,4,15,5261.93
2043,5,15,5464.84
2043,6,15,5266.45
2043,7,15,5400.5
2043,8,15,5349.22
2043,9,15,5127.55
2043,10,15,5303.15
2043,11,15,5116.26
2043,12,15,5263.55
2044,1,15,5041.31
2044,2,15,4997.16
2044,3,15,5072.34
2044,4,15,5044.26
2044,5,15,5014.15
2044,6,15,5018.45
2044,7,15,4938.69
2044,8,15,4787.19
2044,9,15,4759.67
2044,10,15,4739.36
2044,11,15,4913.95
2044,12,15,4825.44
2045,1,15,4862.22
2045,2,15,4784.39
2045,3,15,4723
2045,4,15,4722.75
2045,5,15,4623.82
2045,6,15,4671.91
2045,7,15,4583.81
2045,8,15,4645.16
2045,9,15,4423.53
2045,10,15,4417.21
2045,11,15,4516.34
2045,12,15,4400.8
2046,1,15,4282.92
2046,2,15,4263.14
2046,3,15,4228.09
2046,4,15,4288.07
2046,5,15,4296.85
2046,6,15,4139.51
2046,7,15,4282.08
2046,8,15,4210.41
2046,9,15,4140.42
2046,10,15,4033.56
2046,11,15,4161.78
2046,12,15,4137.75
2047,1,15,3981.81
2047,2,15,3937.92
2047,3,15,3889.99
2047,4,15,3855.53
2047,5,15,3969.52
2047,6,15,3942.99
2047,7,15,3869.2
2047,8,15,3860.09
2047,9,15,3716.81
2047,10,15,3713.27
2047,11,15,3757.33
2047,12,15,3634.78
2048,1,15,3688.85
2048,2,15,3557.63
2048,3,15,3529.85
2048,4,15,3592.16
2048,5,15,3516.12
2048,6,15,3465.95
2048,7,15,3466.05
2048,8,15,3502.57
2048,9,15,3407.45
2048,10,15,3342.42
2048,11,15,3340.25
2048,12,15,3383.04
2049,1,15,3272.49
2049,2,15,3280.47
2049,3,15,3317.32
2049,4,15,3238.87
2049,5,15,3137.27
2049,6,15,3196.9
2049,7,15,3123.85
2049,8,15,3058.77
2049,9,15,3114.52
2049,10,15,3032.4
2049,11,15,2991.83
2049,12,15,3041.58
2050,1,15,3019.87
2050,2,15,2890.15
2050,3,15,2991.02
2050,4,15,2924.39
2050,5,15,2887.27
2050,6,15,2852.13
2050,7,15,2887.53
2050,8,15,2764.11
2050,9,15,2827.51
2050,10,15,2785.41
2050,11,15,2686.75
2050,12,15,2733.11
2051,1,15,2642.53
2051,2,15,2641
2051,3,15,2569.4
2051,4,15,2587.47
2051,5,15,2524.14
2051,6,15,2531.15
2051,7,15,2485.06
2051,8,15,2543.13
2051,9,15,2496.82
2051,10,15,2401.14
2051,11,15,2466.17
2051,12,15,2347.43
2052,1,15,2327.09
2052,2,15,2297.63
2052,3,15,2354.13
2052,4,15,2279.13
2052,5,15,2315.39
2052,6,15,2228.44
2052,7,15,2232.7
2052,8,15,2243.84
2052,9,15,2211.28
2052,10,15,2197.03
2052,11,15,2099.18
2052,12,15,2149.65
2053,1,15,2058.11
2053,2,15,2054.93
2053,3,15,2072.88
2053,4,15,2032.08
2053,5,15,2054.78
2053,6,15,1997.09
2053,7,15,1977.08
2053,8,15,1904.5
2053,9,15,1962.98
2053,10,15,1947.49
2053,11,15,1845.26
2053,12,15,1841.38
2054,1,15,1871.33
2054,2,15,1816.5
2054,3,15,1797.85
2054,4,15,1808.43
2054,5,15,1770.06
2054,6,15,1785.51
2054,7,15,1727.05
2054,8,15,1702.9
2054,9,15,1668.63
2054,10,15,1656.59
2054,11,15,1651.28
2054,12,15,1642.6
2055,1,15,1593.74
2055,2,15,1552.24
2055,3,15,1573.56
2055,4,15,1582.38
2055,5,15,1563.39
2055,6,15,1513.82
2055,7,15,1479.34
2055,8,15,1437
2055,9,15,1440.54
2055,10,15,1410.75
2055,11,15,1442.55
2055,12,15,1420.37
2056,1,15,1382.63
2056,2,15,1378.32
2056,3,15,1345.47
2056,4,15,1322.9
2056,5,15,1294.95
2056,6,15,1300.91
2056,7,15,1280.68
2056,8,15,1276.14
2056,9,15,1271.58
2056,10,15,1259.07
2056,11,15,1209.34
2056,12,15,1196.62
2057,1,15,1181.18
2057,2,15,1152.26
2057,3,15,1155.37
2057,4,15,1139.72
2057,5,15,1121.26
2057,6,15,1099.98
2057,7,15,1103.01
2057,8,15,1087.06
2057,9,15,1073.69
2057,10,15,1068.49
2057,11,15,1049.56
2057,12,15,1038.81
2058,1,15,1000.38
2058,2,15,978.36
2058,3,15,975.59
2058,4,15,967.24
2058,5,15,967.24
2058,6,15,958.87
2058,7,15,939.21
2058,8,15,902.58
2058,9,15,916.47
2058,10,15,902.19
2058,11,15,862.27
2058,12,15,867.68
2059,1,15,841.7
2059,2,15,829.89
2059,3,15,849.57
2059,4,15,829.08
2059,5,15,805.59
2059,6,15,816.7
2059,7,15,787.21
2059,8,15,798.33
2059,9,15,759.85
2059,10,15,776.83
2059,11,15,743.89
2059,12,15,758
2060,1,15,721.86
2060,2,15,721.14
2060,3,15,729.29
2060,4,15,707.71
2060,5,15,709.91
2060,6,15,688.09
2060,7,15,669.13
2060,8,15,662.17
2060,9,15,658.18
2060,10,15,642.01
2060,11,15,625.74
2060,12,15,615.45
2061,1,15,620.52
2061,2,15,610.15
2061,3,15,599.76
2061,4,15,610.98
2061,5,15,597.38
2061,6,15,574.34
2061,7,15,569.92
2061,8,15,565.47
2061,9,15,570.49
2061,10,15,550.2
2061,11,15,552
2061,12,15,528.34
2062,1,15,523.72
2062,2,15,525.44
2062,3,15,511.1
2062,4,15,509.53
2062,5,15,501.52
2062,6,15,506.46
2062,7,15,501.61
2062,8,15,480.39
2062,9,15,481.99
2062,10,15,463.88
2062,11,15,458.82
2062,12,15,467
2063,1,15,448.64
2063,2,15,460.15
2063,3,15,451.68
2063,4,15,433.08
2063,5,15,424.45
2063,6,15,429.25
2063,7,15,430.71
2063,8,15,418.54
2063,9,15,413.18
2063,10,15,400.87
2063,11,15,409.13
2063,12,15,393.28
2064,1,15,398.08
2064,2,15,382.13
2064,3,15,390.38
2064,4,15,370.75
2064,5,15,382.56
2064,6,15,369.83
2064,7,15,371.11
2064,8,15,368.83
2064,9,15,366.57
2064,10,15,346.44
2064,11,15,347.65
2064,12,15,345.23
2065,1,15,339.27
2065,2,15,333.2
2065,3,15,341.66
2065,4,15,324.62
2065,5,15,333.1
2065,6,15,323.2
2065,7,15,313.3
2065,8,15,318.14
2065,9,15,308.14
2065,10,15,312.94
2065,11,15,302.84
2065,12,15,303.92
2066,1,15,297.46
2066,2,15,290.94
2066,3,15,291.98
2066,4,15,285.46
2066,5,15,290.28
2066,6,15,287.51
2066,7,15,280.83
2066,8,15,285.68
2066,9,15,271.24
2066,10,15,272.21
2066,11,15,265.38
2066,12,15,270.23
2067,1,15,263.39
2067,2,15,268.26
2067,3,15,257.36
2067,4,15,258.3
2067,5,15,263.2
2067,6,15,248.17
2067,7,15,249.07
2067,8,15,258.06
2067,9,15,254.91
2067,10,15,243.67
2067,11,15,244.56
2067,12,15,241.38
2068,1,15,238.12
2068,2,15,234.89
2068,3,15,231.64
2068,4,15,236.61
2068,5,15,233.34
2068,6,15,234.19
2068,7,15,226.64
2068,8,15,231.67
2068,9,15,219.84
2068,10,15,224.93
2068,11,15,221.46
2068,12,15,226.59
2069,1,15,218.83
2069,2,15,219.64
2069,3,15,216.09
2069,4,15,216.89
2069,5,15,213.36
2069,6,15,209.8
2069,7,15,210.58
2069,8,15,211.36
2069,9,15,203.29
2069,10,15,204.04
2069,11,15,200.37
2069,12,15,201.11
2070,1,15,206.32
2070,2,15,193.59
2070,3,15,198.81
2070,4,15,190.52
2070,5,15,200.29
2070,6,15,196.49
2070,7,15,188.03
2070,8,15,188.73
2070,9,15,184.84
2070,10,15,185.53
2070,11,15,190.86
2070,12,15,182.21
2071,1,15,182.89
2071,2,15,183.57
2071,3,15,184.26
2071,4,15,180.23
2071,5,15,176.17
2071,6,15,181.58
2071,7,15,177.49
2071,8,15,178.16
2071,9,15,173.95
2071,10,15,169.78
2071,11,15,175.26
2071,12,15,171.05
2072,1,15,171.7
2072,2,15,172.34
2072,3,15,168.07
2072,4,15,173.64
2072,5,15,169.34
2072,6,15,169.98
2072,7,15,160.56
2072,8,15,171.26
2072,9,15,161.77
2072,10,15,162.38
2072,11,15,162.99
2072,12,15,163.61
2073,1,15,164.22
2073,2,15,159.64
2073,3,15,165.46
2073,4,15,160.85
2073,5,15,161.46
2073,6,15,156.87
2073,7,15,162.68
2073,8,15,158.05
2073,9,15,153.39
2073,10,15,153.97
2073,11,15,154.55
2073,12,15,155.13
2074,1,15,150.3
2074,2,15,150.87
2074,3,15,146.06
2074,4,15,146.61
2074,5,15,147.16
2074,6,15,147.72
2074,7,15,148.28
2074,8,15,148.84
2074,9,15,143.9
2074,10,15,144.44
2074,11,15,144.99
2074,12,15,145.53
2075,1,15,146.08
2075,2,15,140.95
2075,3,15,141.48
2075,4,15,142.01
2075,5,15,142.55
2075,6,15,143.09
2075,7,15,137.92
2075,8,15,138.44
2075,9,15,144.72
2075,10,15,139.49
2075,11,15,134.13
2075,12,15,134.63
2076,1,15,141.07
2076,2,15,135.65
2076,3,15,136.17
2076,4,15,136.68
2076,5,15,131.26
2076,6,15,131.76
2076,7,15,132.26
2076,8,15,132.76
2076,9,15,127.24
2076,10,15,133.76
2076,11,15,128.2
2076,12,15,134.78
2077,1,15,129.17
2077,2,15,129.66
2077,3,15,123.89
2077,4,15,130.64
2077,5,15,131.13
2077,6,15,125.3
2077,7,15,125.78
2077,8,15,126.25
2077,9,15,126.73
2077,10,15,120.88
2077,11,15,121.34
2077,12,15,121.8
2078,1,15,122.26
2078,2,15,122.72
2078,3,15,123.18
2078,4,15,123.64
2078,5,15,117.61
2078,6,15,124.58
2078,7,15,118.5
2078,8,15,118.95
2078,9,15,119.4
2078,10,15,119.85
2078,11,15,113.56
2078,12,15,120.75
2079,1,15,114.42
2079,2,15,114.85
2079,3,15,115.28
2079,4,15,115.71
2079,5,15,116.15
2079,6,15,109.76
2079,7,15,117.03
2079,8,15,110.59
2079,9,15,111.01
2079,10,15,111.43
2079,11,15,111.84
2079,12,15,112.27
2080,1,15,112.69
2080,2,15,113.11
2080,3,15,113.54
2080,4,15,106.88
2080,5,15,107.28
2080,6,15,107.68
2080,7,15,108.09
2080,8,15,108.49
2080,9,15,108.9
2080,10,15,109.31
2080,11,15,102.34
2080,12,15,102.72
2081,1,15,103.11
2081,2,15,103.5
2081,3,15,103.88
2081,4,15,104.27
2081,5,15,104.66
2081,6,15,97.59
2081,7,15,105.45
2081,8,15,98.32
2081,9,15,98.69
2081,10,15,99.06
2081,11,15,99.43
2081,12,15,99.8
2082,1,15,100.17
2082,2,15,92.74
2082,3,15,93.09
2082,4,15,93.44
2082,5,15,93.79
2082,6,15,94.14
2082,7,15,94.49
2082,8,15,94.84
2082,9,15,95.19
2082,10,15,95.55
2082,11,15,95.9
2082,12,15,88.28
2083,1,15,88.61
2083,2,15,88.94
2083,3,15,89.27
2083,4,15,89.6
2083,5,15,89.93
2083,6,15,90.27
2083,7,15,90.6
2083,8,15,90.94
2083,9,15,91.28
2083,10,15,91.62
2083,11,15,83.64
2083,12,15,83.95
2084,1,15,84.26
2084,2,15,84.58
2084,3,15,84.89
2084,4,15,85.2
2084,5,15,85.52
2084,6,15,85.84
2084,7,15,86.15
2084,8,15,86.47
2084,9,15,78.03
2084,10,15,78.32
2084,11,15,78.61
2084,12,15,78.9
2085,1,15,79.19
2085,2,15,79.49
2085,3,15,79.78
2085,4,15,80.07
2085,5,15,80.37
2085,6,15,80.67
2085,7,15,80.96
2085,8,15,81.26
2085,9,15,81.56
2085,10,15,72.81
2085,11,15,73.08
2085,12,15,73.35
2086,1,15,73.62
2086,2,15,73.89
2086,3,15,74.16
2086,4,15,74.43
2086,5,15,74.7
2086,6,15,74.98
2086,7,15,75.25
2086,8,15,75.53
2086,9,15,66.38
2086,10,15,76.08
2086,11,15,66.87
2086,12,15,67.11
2087,1,15,67.36
2087,2,15,67.6
2087,3,15,67.85
2087,4,15,68.1
2087,5,15,68.35
2087,6,15,68.6
2087,7,15,68.85
2087,8,15,69.1
2087,9,15,69.35
2087,10,15,69.6
2087,11,15,69.86
2087,12,15,60.01
2088,1,15,60.23
2088,2,15,60.45
2088,3,15,60.67
2088,4,15,60.89
2088,5,15,61.11
2088,6,15,61.33
2088,7,15,61.55
2088,8,15,61.78
2088,9,15,62
2088,10,15,62.22
2088,11,15,62.45
2088,12,15,62.68
2089,1,15,62.9
2089,2,15,63.13
2089,3,15,63.36
2089,4,15,53.04
2089,5,15,53.23
2089,6,15,53.43
2089,7,15,53.62
2089,8,15,53.81
2089,9,15,54.01
2089,10,15,54.2
2089,11,15,54.4
2089,12,15,54.59
2090,1,15,54.79
2090,2,15,54.99
2090,3,15,55.18
2090,4,15,55.38
2090,5,15,55.58
2090,6,15,55.78
2090,7,15,55.98
2090,8,15,56.18
2090,9,15,56.38
2090,10,15,45.17
2090,11,15,45.33
2090,12,15,45.49
2091,1,15,45.65
2091,2,15,45.82
2091,3,15,45.98
2091,4,15,46.15
2091,5,15,46.31
2091,6,15,46.48
2091,7,15,46.64
2091,8,15,46.81
2091,9,15,46.98
2091,10,15,47.14
2091,11,15,47.31
2091,12,15,47.48
2092,1,15,47.65
2092,2,15,47.82
2092,3,15,47.99
2092,4,15,48.16
2092,5,15,48.33
2092,6,15,36.42
2092,7,15,36.55
2092,8,15,48.85
2092,9,15,36.81
2092,10,15,36.94
2092,11,15,37.07
2092,12,15,37.2
2093,1,15,37.33
2093,2,15,37.47
2093,3,15,37.6
2093,4,15,37.73
2093,5,15,37.86
2093,6,15,38
2093,7,15,38.13
2093,8,15,38.27
2093,9,15,38.4
2093,10,15,38.54
2093,11,15,38.67
2093,12,15,38.81
2094,1,15,38.95
2094,2,15,39.08
2094,3,15,39.22
2094,4,15,39.36
2094,5,15,39.5
2094,6,15,39.63
2094,7,15,39.77
2094,8,15,39.91
2094,9,15,40.05
2094,10,15,40.19
2094,11,15,40.33
2094,12,15,27.05
2095,1,15,27.14
2095,2,15,27.24
2095,3,15,27.33
2095,4,15,27.43
2095,5,15,27.53
2095,6,15,27.62
2095,7,15,27.72
2095,8,15,27.81
2095,9,15,27.91
2095,10,15,28.01
2095,11,15,28.11
2095,12,15,28.2
2096,1,15,28.3
2096,2,15,28.4
2096,3,15,28.5
2096,4,15,28.6
2096,5,15,28.7
2096,6,15,28.8
2096,7,15,28.9
2096,8,15,29
2096,9,15,29.1
2096,10,15,29.2
2096,11,15,29.3
2096,12,15,29.4
2097,1,15,29.5
2097,2,15,29.6
2097,3,15,29.7
2097,4,15,29.81
2097,5,15,29.91
2097,6,15,30.01
2097,7,15,30.12
2097,8,15,30.22
2097,9,15,30.32
2097,10,15,30.43
2097,11,15,30.53
2097,12,15,30.64
2098,1,15,30.74
2098,2,15,30.85
2098,3,15,30.95
2098,4,15,31.06
2098,5,15,15.47
2098,6,15,15.52
2098,7,15,15.57
2098,8,15,15.63
2098,9,15,15.68
2098,10,15,15.73
2098,11,15,15.79
2098,12,15,15.84
2099,1,15,15.9
2099,2,15,15.95
2099,3,15,16
2099,4,15,16.06
2099,5,15,16.11
2099,6,15,16.17
2099,7,15,16.22
2099,8,15,16.28
2099,9,15,16.33
2099,10,15,16.39
2099,11,15,16.44
2099,12,15,16.5
2100,1,15,16.56
2100,2,15,16.61
2100,3,15,16.67
2100,4,15,16.72
2100,5,15,16.78
2100,6,15,16.84
2100,7,15,16.89
2100,8,15,16.95
2100,9,15,17.01
2100,10,15,17.07
2100,11,15,17.12
2100,12,15,17.18
2101,1,15,17.24
2101,2,15,17.3
2101,3,15,17.36
2101,4,15,17.41
2101,5,15,17.47
2101,6,15,17.53
2101,7,15,17.59
2101,8,15,17.65
2101,9,15,17.71
2101,10,15,17.77
2101,11,15,17.83
2101,12,15,17.89
2102,1,15,17.95
2102,2,15,18.01
2102,3,15,18.07
2102,4,15,18.13
2102,5,15,18.19
2102,6,15,18.25
2102,7,15,18.31
2102,8,15,18.37
2102,9,15,18.43
2102,10,15,18.49
2102,11,15,18.55
2102,12,15,18.62
2103,1,15,18.68
2103,2,15,18.74
2103,3,15,18.8
2103,4,15,18.86
2103,5,15,18.93
2103,6,15,18.99
2103,7,15,19.05
2103,8,15,19.12
2103,9,15,19.18
2103,10,15,19.24
2103,11,15,19.31
2103,12,15,19.37
2104,1,15,19.43
2104,2,15,19.5
2104,3,15,19.56
2104,4,15,19.63
2104,5,15,19.69
2104,6,15,19.76
2104,7,15,19.82
2104,8,15,19.89
2104,9,15,19.95
2104,10,15,20.02
2104,11,15,20.08
2104,12,15,20.15
2105,1,15,20.22
2105,2,15,20.28
2105,3,15,20.35
2105,4,15,20.42
2105,5,15,20.48
2105,6,15,20.55
2105,7,15,20.62
2105,8,15,20.68
2105,9,15,20.75
2105,10,15,20.82
2105,11,15,20.89
2105,12,15,20.95
2106,1,15,21.02
2106,2,15,21.09
2106,3,15,21.16
2106,4,15,21.23
2106,5,15,21.3
2106,6,15,21.37
2106,7,15,21.44
2106,8,15,21.51
2106,9,15,21.58
2106,10,15,21.65
2106,11,15,21.72
2106,12,15,21.79
2107,1,15,21.86
